id,retirement_age,birthdate,gender,per_capita_income,yearly_income,total_debt,credit_score
1884,64,2007-05-28,Male,Rp44.076.000,Rp89.874.000,Rp26.632.380,850
1874,66,1976-09-19,Male,Rp29.541.000,Rp60.234.000,Rp26.276.380,783
1310,69,1992-09-17,Female,Rp27.454.000,Rp55.966.000,Rp17.388.190,751
1689,66,2004-09-17,Female,Rp47.511.000,Rp96.879.000,Rp46.268.190,637
379,65,1978-11-12,Female,Rp33.468.000,Rp68.245.000,Rp34.237.904,765
34,55,1984-08-25,Male,Rp39.901.000,Rp81.359.000,Rp21.566.095,737
822,68,1974-04-15,Female,Rp26.582.000,Rp54.193.000,Rp6.766.476,793
1499,62,1979-11-05,Male,Rp31.769.000,Rp64.779.000,Rp26.344.571,662
1780,70,1979-10-18,Male,Rp29.282.000,Rp59.707.000,Rp18.915.619,666
1806,62,1967-02-09,Female,Rp61.847.000,Rp126.102.000,Rp32.425.714,822
811,68,1935-02-12,Female,Rp81.026.000,Rp132.884.999,Rp642.285,741
1844,72,1947-02-22,Male,Rp37.041.000,Rp58.842.000,Rp4.265.333,706
1852,75,1968-12-06,Male,Rp50.296.000,Rp102.545.000,Rp6.528.190,685
1231,52,2000-01-20,Female,Rp16.975.000,Rp34.622.000,Rp11.645.523,842
970,66,1983-11-15,Male,Rp34.386.000,Rp70.104.000,Rp12.555.238,770
381,69,2000-02-23,Male,Rp39.481.000,Rp80.499.000,Rp20.381.523,675
1134,59,2008-02-26,Female,Rp19.890.000,Rp40.554.000,Rp13.860.761,568
1296,64,1965-11-29,Female,Rp35.924.000,Rp73.246.000,Rp27.831.428,788
1880,66,1964-11-27,Male,Rp24.299.000,Rp49.547.000,Rp15.665.714,771
322,65,1978-10-10,Male,Rp21.588.000,Rp44.018.000,Rp3.728.190,829
461,68,1983-12-22,Female,Rp50.330.000,Rp102.617.000,Rp23.925.523,784
1165,73,1970-11-21,Female,Rp21.216.000,Rp43.260.000,Rp17.753.333,797
1448,70,1977-12-21,Female,Rp29.653.000,Rp60.468.000,Rp0,850
1288,57,1984-07-15,Female,Rp29.287.000,Rp59.715.000,Rp20.388.000,634
1178,68,1966-11-20,Female,Rp40.593.000,Rp82.771.000,Rp11.413.714,693
1391,59,1981-02-13,Male,Rp39.396.000,Rp80.327.000,Rp20.072.380,631
838,70,1999-07-10,Male,Rp38.255.000,Rp78.000.000,Rp27.428.000,763
54,68,2004-04-09,Female,Rp33.985.000,Rp69.287.000,Rp40.098.476,696
1452,59,1979-05-22,Female,Rp149.116.000,Rp304.030.000,Rp72.195.238,660
1602,66,1985-02-22,Female,Rp22.986.000,Rp46.857.000,Rp13.419.238,717
1938,67,2003-07-21,Male,Rp44.144.000,Rp90.009.000,Rp34.493.523,795
1492,58,1963-02-09,Female,Rp51.302.000,Rp88.860.000,Rp3.889.714,786
688,67,1981-03-12,Male,Rp36.346.000,Rp74.099.000,Rp45.136.380,760
749,68,2003-10-01,Male,Rp18.908.000,Rp38.557.000,Rp24.108.000,674
643,65,1997-01-16,Female,Rp33.393.000,Rp68.090.000,Rp12.602.285,697
1219,72,1997-06-05,Female,Rp44.712.000,Rp91.167.000,Rp20.996.000,688
1198,67,1943-06-09,Male,Rp23.679.000,Rp17.053.000,Rp544.000,820
898,66,1935-06-14,Female,Rp19.498.000,Rp31.212.000,Rp511.619,566
882,65,1962-08-11,Male,Rp28.272.000,Rp57.650.000,Rp21.433.714,612
348,70,1976-07-07,Female,Rp35.690.000,Rp72.766.000,Rp23.902.666,719
633,69,1989-10-14,Female,Rp38.615.000,Rp78.731.000,Rp33.028.190,743
1493,65,1995-11-01,Male,Rp41.968.000,Rp85.569.000,Rp36.456.761,765
1161,66,2002-12-20,Male,Rp37.899.000,Rp77.281.000,Rp1.959.619,823
217,65,1983-10-27,Male,Rp23.882.000,Rp48.688.000,Rp6.530.857,744
1877,66,1961-01-28,Male,Rp54.380.000,Rp110.886.000,Rp26.181.333,714
668,57,1938-10-16,Female,Rp20.810.000,Rp25.641.000,Rp525.333,747
533,65,2003-09-11,Male,Rp23.822.000,Rp48.578.000,Rp12.730.476,677
203,67,1967-03-09,Female,Rp23.322.000,Rp47.549.000,Rp6.990.857,776
1738,68,1995-03-31,Male,Rp52.932.000,Rp107.922.000,Rp59.298.285,696
713,71,2000-08-05,Female,Rp26.736.000,Rp54.515.000,Rp7.920.571,691
1631,67,2007-11-05,Female,Rp49.802.000,Rp101.538.000,Rp52.199.619,740
1487,69,1967-02-21,Female,Rp61.919.000,Rp126.248.000,Rp22.791.238,727
1265,67,2008-02-15,Female,Rp38.284.000,Rp78.055.000,Rp6.921.904,748
370,58,1964-11-27,Male,Rp25.281.000,Rp65.747.000,Rp3.749.142,655
1014,70,1971-09-17,Female,Rp151.434.000,Rp308.754.000,Rp130.759.809,729
290,66,1998-03-22,Female,Rp77.600.000,Rp158.213.000,Rp18.343.047,687
985,65,1993-06-20,Male,Rp39.749.000,Rp81.045.000,Rp28.527.047,600
135,69,1961-06-28,Female,Rp29.309.000,Rp59.760.000,Rp15.444.571,691
307,69,2007-08-15,Male,Rp28.371.000,Rp57.843.000,Rp0,680
1783,70,1973-09-01,Male,Rp28.937.000,Rp59.005.000,Rp19.033.904,749
1321,66,1976-10-30,Female,Rp26.532.000,Rp54.099.000,Rp17.571.238,696
1511,66,1983-01-05,Male,Rp37.154.000,Rp75.750.000,Rp34.145.714,719
900,65,1989-07-02,Male,Rp25.313.000,Rp51.614.000,Rp20.860.190,735
953,71,2007-06-07,Male,Rp23.013.000,Rp46.927.000,Rp12.800.571,664
233,64,1988-12-11,Female,Rp36.523.000,Rp74.471.000,Rp24.981.714,716
406,64,2002-05-16,Female,Rp65.506.000,Rp133.566.000,Rp32.479.238,641
1069,69,1971-09-06,Male,Rp35.282.000,Rp71.942.000,Rp34.292.571,615
180,67,1992-07-24,Female,Rp20.435.000,Rp41.666.000,Rp12.863.428,840
996,67,1962-11-05,Female,Rp30.928.000,Rp63.064.000,Rp32.206.285,738
1866,67,2004-02-13,Male,Rp47.815.000,Rp97.490.000,Rp22.476.761,676
1981,65,1978-01-24,Male,Rp30.241.000,Rp61.666.000,Rp7.068.000,702
870,64,1962-03-03,Female,Rp55.094.000,Rp112.329.000,Rp39.503.238,821
16,67,1950-12-28,Male,Rp24.243.000,Rp34.766.000,Rp5.708.380,681
46,66,1963-06-10,Male,Rp41.549.000,Rp84.720.000,Rp29.351.047,632
800,73,1997-10-13,Female,Rp20.030.000,Rp40.833.000,Rp7.163.809,723
1968,69,2000-11-21,Female,Rp49.108.000,Rp100.127.000,Rp29.924.000,775
697,73,1970-01-27,Female,Rp50.969.000,Rp103.915.000,Rp26.971.238,742
1269,56,1969-10-07,Male,Rp39.798.000,Rp57.010.000,Rp8.645.714,676
1782,61,1967-02-24,Female,Rp30.498.000,Rp62.184.000,Rp17.508.761,777
1977,69,1982-08-19,Female,Rp44.007.000,Rp89.723.000,Rp0,773
1734,69,1988-11-15,Male,Rp63.592.000,Rp129.657.000,Rp25.331.809,739
1913,57,1966-01-09,Female,Rp53.752.000,Rp48.829.000,Rp9.792.952,619
858,67,1978-11-18,Male,Rp23.679.000,Rp48.284.000,Rp15.369.714,700
606,67,1977-12-22,Male,Rp25.575.000,Rp52.147.000,Rp17.198.857,747
1564,65,1990-10-28,Male,Rp29.204.000,Rp59.539.000,Rp14.928.190,683
1109,65,2001-11-06,Male,Rp33.762.000,Rp68.840.000,Rp38.297.333,639
1301,66,1999-05-05,Female,Rp47.596.000,Rp97.043.000,Rp24.254.666,728
1399,71,1997-05-30,Male,Rp31.019.000,Rp63.253.000,Rp39.254.285,707
1775,67,1999-08-20,Male,Rp29.218.000,Rp59.572.000,Rp16.730.666,788
1673,67,1984-11-08,Male,Rp26.901.000,Rp54.843.000,Rp13.584.761,772
1957,74,1985-09-10,Male,Rp73.829.000,Rp150.538.000,Rp66.565.904,772
1033,58,2008-02-01,Female,Rp26.042.000,Rp53.101.000,Rp12.584.571,684
1024,67,1959-04-19,Male,Rp50.462.000,Rp102.884.000,Rp42.757.142,739
1441,66,1985-07-01,Male,Rp37.405.000,Rp76.268.000,Rp13.006.285,737
1103,70,1980-05-13,Female,Rp19.798.000,Rp40.359.000,Rp10.163.238,746
431,72,2006-03-21,Female,Rp40.002.000,Rp81.563.000,Rp23.655.047,691
165,65,1992-02-01,Male,Rp82.864.000,Rp168.955.000,Rp67.248.000,694
353,69,2002-02-16,Female,Rp25.275.000,Rp51.537.000,Rp10.015.809,721
1758,66,1969-01-10,Male,Rp17.355.000,Rp35.390.000,Rp12.928.571,645
1266,54,1990-09-09,Female,Rp35.444.000,Rp72.273.000,Rp31.836.571,618
1943,65,2006-09-29,Female,Rp73.370.000,Rp149.601.000,Rp21.509.333,706
792,65,1998-01-30,Female,Rp34.766.000,Rp70.887.000,Rp3.935.428,698
1055,69,1988-04-11,Male,Rp23.750.000,Rp48.427.000,Rp16.460.761,594
1159,69,2005-11-25,Male,Rp31.972.000,Rp65.181.000,Rp14.650.285,732
1115,73,1972-09-24,Male,Rp23.238.000,Rp47.381.000,Rp12.238.285,693
38,64,1980-12-29,Female,Rp30.785.000,Rp62.769.000,Rp21.755.047,621
1027,68,1972-05-26,Male,Rp47.434.000,Rp96.723.000,Rp0,693
11,67,1986-10-18,Female,Rp52.052.000,Rp106.132.000,Rp0,714
871,71,1939-05-30,Female,Rp21.684.000,Rp35.538.000,Rp0,690
746,67,1962-10-21,Male,Rp23.309.000,Rp47.522.000,Rp12.774.666,689
1520,65,1958-10-21,Male,Rp35.379.000,Rp74.077.000,Rp323.428,789
1372,66,1949-10-05,Female,Rp23.543.000,Rp44.269.000,Rp5.414.095,697
1799,55,1993-04-28,Male,Rp81.197.000,Rp165.553.000,Rp57.517.523,646
1905,68,1989-12-29,Male,Rp21.922.000,Rp44.699.000,Rp1.819.238,808
130,69,1962-09-04,Female,Rp62.371.000,Rp127.164.000,Rp46.680.000,781
1990,62,2006-12-28,Female,Rp36.369.000,Rp74.156.000,Rp22.370.285,726
593,71,2006-07-22,Male,Rp26.022.000,Rp53.057.000,Rp23.242.095,635
540,69,2000-09-06,Female,Rp24.743.000,Rp50.459.000,Rp18.769.142,634
1155,65,1942-08-25,Female,Rp24.260.000,Rp46.276.000,Rp357.523,689
663,63,1957-03-12,Female,Rp57.367.000,Rp110.699.000,Rp11.678.666,655
1987,62,1962-09-09,Male,Rp36.241.000,Rp52.853.000,Rp7.470.476,488
1484,72,1933-08-29,Female,Rp48.353.000,Rp90.582.000,Rp675.809,726
417,65,2004-03-28,Male,Rp16.835.000,Rp34.328.000,Rp20.811.809,762
298,65,1997-05-16,Male,Rp39.274.000,Rp80.083.000,Rp31.974.476,686
306,69,2008-01-08,Male,Rp54.160.000,Rp110.426.000,Rp31.916.952,725
607,64,2000-08-09,Male,Rp32.795.000,Rp66.866.000,Rp20.199.809,771
1769,65,1950-07-31,Male,Rp34.300.000,Rp72.223.000,Rp2.490.095,661
698,66,1970-10-24,Female,Rp50.093.000,Rp102.132.000,Rp7.145.333,699
896,65,1999-02-04,Female,Rp28.678.000,Rp58.473.000,Rp15.058.857,626
1975,67,1973-02-15,Female,Rp29.990.000,Rp61.147.000,Rp13.179.047,738
645,64,1963-02-28,Female,Rp20.515.000,Rp41.831.000,Rp12.751.428,750
227,66,1977-09-11,Male,Rp63.331.000,Rp129.121.000,Rp464.761,736
84,68,1978-09-15,Male,Rp19.816.000,Rp40.399.000,Rp12.389.142,738
1684,65,1969-11-16,Male,Rp21.445.000,Rp43.714.000,Rp32.370.095,782
745,72,2007-12-26,Male,Rp37.374.000,Rp76.192.000,Rp0,752
1508,69,1959-04-19,Female,Rp30.007.000,Rp61.189.000,Rp19.388.380,747
1158,66,1963-04-07,Male,Rp25.479.000,Rp51.953.000,Rp16.748.000,716
1427,66,1991-10-16,Female,Rp77.629.000,Rp158.281.000,Rp62.892.952,770
352,65,2003-11-17,Male,Rp28.517.000,Rp58.144.000,Rp15.106.666,680
1948,58,2001-03-14,Male,Rp36.347.000,Rp74.110.000,Rp26.644.380,685
724,72,1980-05-18,Female,Rp27.045.000,Rp55.138.000,Rp32.246.095,731
543,65,1982-03-24,Female,Rp23.643.000,Rp48.201.000,Rp14.931.238,749
1559,67,1969-12-03,Female,Rp45.284.000,Rp92.329.000,Rp37.896.952,746
1199,68,1996-06-23,Male,Rp30.064.000,Rp61.299.000,Rp19.092.190,720
1745,65,2006-02-08,Female,Rp38.051.000,Rp77.585.000,Rp9.181.714,728
1950,73,1986-03-06,Female,Rp17.168.000,Rp35.008.000,Rp11.788.380,720
1397,72,1993-04-22,Male,Rp27.999.000,Rp57.093.000,Rp27.778.476,710
873,68,1973-08-15,Female,Rp34.653.000,Rp70.663.000,Rp9.501.333,710
1728,63,1978-10-27,Female,Rp29.712.000,Rp60.587.000,Rp22.216.190,601
299,61,1985-07-12,Male,Rp21.723.000,Rp44.291.000,Rp16.638.857,622
1742,67,1967-11-16,Female,Rp38.657.000,Rp78.814.000,Rp364.000,751
1004,66,1966-05-06,Male,Rp26.433.000,Rp53.895.000,Rp18.421.333,705
301,69,1978-11-15,Male,Rp40.251.000,Rp82.071.000,Rp40.441.142,679
1011,66,1998-08-27,Female,Rp24.671.000,Rp50.304.000,Rp17.603.809,676
906,69,1951-02-25,Male,Rp34.124.000,Rp33.191.000,Rp1.722.666,705
110,72,1973-10-23,Female,Rp40.157.000,Rp81.880.000,Rp12.806.666,737
1073,70,1982-05-24,Female,Rp27.134.000,Rp55.329.000,Rp21.018.095,770
705,71,1941-09-08,Female,Rp66.265.000,Rp125.316.000,Rp1.204.761,609
820,59,1955-12-18,Female,Rp41.990.000,Rp65.744.000,Rp8.880.000,633
1188,61,2001-08-06,Female,Rp49.226.000,Rp100.367.000,Rp38.376.761,626
1128,68,1978-07-30,Male,Rp26.635.000,Rp54.297.000,Rp7.145.333,680
1479,60,1993-11-24,Male,Rp20.490.000,Rp41.784.000,Rp10.146.285,805
1594,64,1986-11-25,Male,Rp27.685.000,Rp56.449.000,Rp14.753.333,643
1485,69,1961-10-05,Male,Rp38.287.000,Rp78.067.000,Rp26.820.380,618
1390,71,1988-06-28,Male,Rp46.863.000,Rp95.547.000,Rp25.633.333,850
644,65,1967-03-19,Female,Rp32.292.000,Rp65.840.000,Rp16.095.619,741
1912,60,1988-07-01,Female,Rp34.611.000,Rp70.567.000,Rp40.147.047,684
1584,69,1998-09-23,Male,Rp35.965.000,Rp73.324.000,Rp10.260.571,692
1803,60,1999-04-30,Female,Rp36.289.000,Rp73.994.000,Rp19.184.571,578
1824,65,2002-07-28,Male,Rp38.812.000,Rp79.129.000,Rp28.997.904,838
340,63,2005-08-10,Male,Rp39.795.000,Rp81.138.000,Rp25.751.047,809
650,65,1980-08-12,Male,Rp18.633.000,Rp37.993.000,Rp8.532.952,707
762,59,1976-09-02,Male,Rp28.702.000,Rp58.521.000,Rp15.580.571,683
1061,67,2000-12-26,Male,Rp31.135.000,Rp63.477.000,Rp20.569.142,739
1931,72,1967-06-15,Male,Rp63.849.000,Rp130.186.000,Rp54.221.333,503
702,68,1979-07-03,Female,Rp54.716.000,Rp111.561.000,Rp40.899.428,721
918,75,1982-05-25,Female,Rp22.468.000,Rp45.805.000,Rp3.256.000,703
1137,67,1973-10-12,Male,Rp25.747.000,Rp52.507.000,Rp29.501.142,669
66,71,2005-06-07,Female,Rp24.101.000,Rp49.132.000,Rp12.053.142,721
1406,68,1989-07-10,Male,Rp18.252.000,Rp37.214.000,Rp414.285,712
437,66,1979-06-06,Female,Rp55.927.000,Rp114.019.000,Rp8.641.523,718
806,67,2001-04-26,Female,Rp60.003.000,Rp122.338.000,Rp1.831.428,686
891,66,1987-10-08,Female,Rp26.819.000,Rp54.686.000,Rp12.170.095,746
1191,69,2000-12-05,Female,Rp28.396.000,Rp57.899.000,Rp18.092.190,711
701,59,1997-12-02,Female,Rp41.541.000,Rp84.701.000,Rp22.748.380,701
1147,69,1945-03-31,Male,Rp73.472.000,Rp164.262.000,Rp2.078.476,704
1625,66,2001-05-06,Female,Rp77.868.000,Rp158.769.000,Rp86.886.666,659
1664,66,1987-10-02,Male,Rp53.533.000,Rp109.149.000,Rp14.943.809,791
1273,71,2004-04-15,Male,Rp38.006.000,Rp77.480.000,Rp12.888.571,762
1009,65,1985-01-05,Female,Rp22.112.000,Rp45.082.000,Rp0,702
1341,72,1938-08-11,Male,Rp31.245.000,Rp47.618.000,Rp892.000,686
925,68,1994-03-31,Male,Rp45.046.000,Rp91.846.000,Rp27.839.428,610
824,66,1993-08-18,Female,Rp28.399.000,Rp57.898.000,Rp6.961.333,695
563,65,1956-01-27,Male,Rp38.794.000,Rp77.714.000,Rp2.004.380,737
1612,66,1957-08-27,Male,Rp32.398.000,Rp55.496.000,Rp4.416.190,562
1700,62,1981-01-28,Female,Rp29.751.000,Rp60.667.000,Rp34.901.523,822
963,70,2001-12-19,Female,Rp32.098.999,Rp65.449.000,Rp16.300.000,687
904,66,1993-08-12,Male,Rp18.856.000,Rp38.448.000,Rp15.661.523,759
1586,65,1983-01-22,Male,Rp43.584.000,Rp88.868.000,Rp31.121.142,672
1286,67,1972-10-20,Female,Rp47.387.000,Rp96.616.000,Rp25.517.333,602
719,66,1972-11-01,Female,Rp38.580.000,Rp78.668.000,Rp32.761.523,767
1469,68,2004-12-04,Male,Rp26.657.000,Rp54.360.000,Rp16.199.619,759
930,65,2004-01-31,Male,Rp19.258.000,Rp39.263.000,Rp8.734.666,691
1814,68,1985-01-20,Female,Rp25.283.000,Rp51.551.000,Rp7.930.095,703
1723,66,1984-10-17,Female,Rp27.765.000,Rp56.610.000,Rp24.040.952,839
1377,68,1993-11-21,Female,Rp22.805.000,Rp46.500.000,Rp16.869.333,569
470,65,1970-02-16,Male,Rp21.972.000,Rp44.800.000,Rp28.156.571,747
1804,65,2007-09-29,Male,Rp33.475.000,Rp68.250.000,Rp32.416.380,701
229,57,1990-06-24,Female,Rp45.594.000,Rp92.960.000,Rp51.967.428,725
1512,65,1981-06-10,Male,Rp51.565.000,Rp105.136.000,Rp24.327.619,778
1543,68,1994-10-07,Female,Rp81.550.000,Rp166.256.000,Rp31.758.285,684
147,66,1995-04-16,Male,Rp43.388.000,Rp88.465.000,Rp38.896.761,800
1941,78,1987-08-14,Male,Rp29.707.000,Rp60.578.000,Rp8.207.428,740
901,66,1977-09-30,Male,Rp28.222.000,Rp57.537.000,Rp11.919.047,850
191,65,1997-10-18,Male,Rp30.674.000,Rp62.540.000,Rp33.718.476,728
12,63,2008-02-27,Female,Rp29.075.000,Rp59.285.000,Rp17.389.523,748
1828,68,1975-06-12,Male,Rp0,Rp3.869.000,Rp1.649.904,711
29,60,1957-08-17,Female,Rp29.312.000,Rp42.925.000,Rp4.051.619,665
181,65,2000-01-27,Female,Rp39.264.000,Rp80.057.000,Rp54.148.190,602
995,64,1985-05-02,Female,Rp78.243.000,Rp159.534.000,Rp92.004.952,592
1218,71,2005-06-02,Male,Rp21.389.000,Rp43.620.000,Rp0,754
186,69,1964-11-28,Female,Rp29.649.000,Rp60.463.000,Rp21.607.047,705
171,70,1982-05-10,Female,Rp38.149.000,Rp77.786.000,Rp42.531.619,694
1401,71,2001-11-28,Male,Rp28.218.000,Rp57.538.000,Rp14.841.333,739
1314,70,1982-11-21,Male,Rp30.321.000,Rp61.825.000,Rp21.475.619,723
1560,60,1964-05-12,Female,Rp29.574.000,Rp28.951.000,Rp5.028.952,741
613,69,1986-09-18,Female,Rp43.526.000,Rp88.746.000,Rp33.321.142,712
346,74,1935-11-26,Female,Rp39.616.000,Rp76.222.000,Rp533.523,687
812,67,1984-04-16,Female,Rp31.910.000,Rp65.065.000,Rp35.690.476,659
13,61,1973-06-06,Female,Rp24.914.000,Rp50.801.000,Rp19.700.380,588
602,67,1969-01-23,Male,Rp26.497.000,Rp54.032.000,Rp0,681
657,68,1942-11-15,Female,Rp32.473.999,Rp53.184.000,Rp159.238,705
909,64,1987-05-03,Male,Rp37.725.000,Rp76.917.000,Rp19.768.761,583
183,65,2001-12-21,Female,Rp29.712.000,Rp60.578.000,Rp11.914.476,798
1792,68,2007-11-23,Female,Rp23.632.000,Rp48.187.000,Rp11.372.761,723
1599,68,2003-07-16,Male,Rp25.121.000,Rp51.220.000,Rp17.886.857,790
1267,65,1944-10-08,Female,Rp44.321.000,Rp50.070.000,Rp652.190,630
411,67,1996-01-22,Male,Rp28.871.000,Rp58.870.000,Rp19.635.238,775
350,70,1963-08-23,Female,Rp44.988.000,Rp91.728.000,Rp42.184.000,737
1323,68,1989-03-29,Female,Rp24.174.000,Rp49.289.000,Rp12.621.714,719
934,63,1993-12-24,Female,Rp31.629.000,Rp64.495.000,Rp31.966.666,762
421,67,1973-01-30,Female,Rp35.306.000,Rp71.979.000,Rp17.408.952,790
223,67,1988-10-07,Female,Rp45.124.000,Rp92.001.000,Rp26.102.095,803
1402,63,1990-10-08,Male,Rp74.314.000,Rp151.525.000,Rp79.292.571,590
1650,67,2008-02-18,Male,Rp33.956.000,Rp69.237.000,Rp42.547.619,687
354,72,1948-08-06,Female,Rp34.808.000,Rp50.117.000,Rp3.540.000,713
314,66,1998-06-14,Male,Rp44.575.000,Rp90.887.000,Rp26.220.571,557
1457,66,2005-06-12,Male,Rp35.185.000,Rp71.743.000,Rp30.532.380,688
1613,65,1986-12-08,Male,Rp33.964.000,Rp69.246.000,Rp0,792
945,66,2007-02-17,Male,Rp43.537.000,Rp88.772.000,Rp23.826.666,705
586,63,1989-02-15,Male,Rp36.060.000,Rp73.530.000,Rp17.618.857,751
119,67,1981-09-21,Female,Rp43.557.000,Rp88.813.000,Rp26.290.476,624
1312,66,1994-04-11,Female,Rp39.405.000,Rp80.347.000,Rp22.982.095,765
1529,69,1974-04-20,Male,Rp58.718.000,Rp119.723.000,Rp33.706.666,692
326,61,2007-03-12,Male,Rp47.189.000,Rp96.219.000,Rp25.073.904,652
1596,69,1983-03-05,Male,Rp24.450.000,Rp49.850.000,Rp5.166.095,734
714,67,1964-10-26,Female,Rp56.471.000,Rp115.138.000,Rp46.380.000,760
887,66,1970-04-19,Male,Rp41.009.000,Rp83.607.000,Rp15.249.523,816
1425,67,1937-04-06,Female,Rp29.991.000,Rp30.164.000,Rp491.238,809
1645,65,1963-11-06,Female,Rp46.587.000,Rp94.989.000,Rp47.953.333,716
1863,61,1981-12-13,Female,Rp33.952.000,Rp69.231.000,Rp32.026.095,850
1576,65,1938-01-27,Female,Rp38.563.000,Rp57.683.000,Rp250.666,712
1268,63,1978-09-22,Male,Rp22.776.000,Rp46.438.000,Rp13.265.714,513
1565,66,1989-01-02,Female,Rp29.747.000,Rp60.651.000,Rp14.202.666,584
1842,64,1980-10-06,Male,Rp24.139.000,Rp49.224.000,Rp17.477.523,637
664,68,2003-04-12,Female,Rp25.918.000,Rp52.845.000,Rp23.408.190,697
485,64,1986-10-20,Male,Rp29.403.000,Rp59.953.000,Rp25.231.619,665
244,62,1985-07-26,Female,Rp20.623.000,Rp42.052.000,Rp12.983.619,638
145,65,1968-01-05,Female,Rp19.498.000,Rp39.749.000,Rp54.476,696
866,67,1991-03-21,Male,Rp47.636.000,Rp97.127.000,Rp37.464.190,639
1424,68,1924-05-17,Female,Rp20.532.000,Rp24.081.000,Rp417.142,761
427,66,1981-11-18,Female,Rp25.033.000,Rp51.035.000,Rp22.214.285,705
684,63,1975-02-05,Male,Rp33.986.000,Rp69.303.000,Rp26.911.809,661
1643,64,1997-06-19,Female,Rp35.458.000,Rp72.295.000,Rp30.319.047,686
1300,66,1967-03-16,Male,Rp17.767.000,Rp36.231.000,Rp6.140.000,752
283,69,2006-11-05,Male,Rp23.635.000,Rp48.184.000,Rp9.251.428,680
355,62,2003-11-20,Female,Rp31.154.000,Rp63.530.000,Rp24.470.095,691
1669,62,1981-05-31,Male,Rp39.592.000,Rp80.731.000,Rp45.175.809,698
937,63,1979-01-27,Female,Rp72.439.000,Rp147.695.000,Rp56.752.761,603
845,72,1967-08-23,Male,Rp28.250.000,Rp57.598.000,Rp34.904.761,786
1518,70,1963-08-16,Male,Rp29.078.000,Rp59.285.000,Rp24.356.952,745
1591,66,1967-06-08,Female,Rp25.947.000,Rp52.902.000,Rp17.404.190,698
1172,64,1976-02-03,Male,Rp23.078.000,Rp47.061.000,Rp30.135.047,769
1629,63,1983-06-27,Female,Rp22.641.000,Rp46.163.000,Rp17.536.571,598
675,67,1986-01-23,Male,Rp27.308.000,Rp55.682.000,Rp27.493.333,724
577,65,1998-01-08,Female,Rp25.477.000,Rp51.943.000,Rp32.484.190,763
854,65,2000-02-01,Female,Rp45.942.000,Rp93.668.000,Rp21.251.809,688
1261,70,1967-07-21,Male,Rp52.933.000,Rp107.927.000,Rp51.359.809,527
1227,67,1960-11-20,Female,Rp51.826.000,Rp105.663.000,Rp2.106.666,804
840,64,1958-01-29,Female,Rp81.105.000,Rp138.750.000,Rp18.850.476,694
733,68,1989-07-04,Male,Rp40.890.000,Rp83.374.000,Rp45.836.952,606
454,65,1937-04-07,Female,Rp34.854.000,Rp60.443.000,Rp14.666,751
